age,prob_death
50,0.004458
51,0.004800
52,0.005165
53,0.005554
54,0.005971
55,0.006423
56,0.006925
57,0.007496
58,0.008160
59,0.008927
60,0.009827
61,0.010831
62,0.011872
63,0.012891
64,0.013908
65,0.015003
66,0.016267
67,0.017699
68,0.019320
69,0.021108
70,0.022950
71,0.024904
72,0.027151
73,0.029784
74,0.032753
75,0.035831
76,0.038987
77,0.042503
78,0.046557
79,0.051200
80,0.056335
81,0.061837
82,0.067856
83,0.074504
84,0.081975
85,0.089682
86,0.098031
87,0.107059
88,0.116804
89,0.127300
90,0.138581
91,0.150676
92,0.163611
93,0.177408
94,0.192080
95,0.207636
96,0.224075
97,0.241387
98,0.259552
99,0.278539
100+,1.00000
